%,cumulative,self,self,total,,
time,seconds,seconds,calls,s/call,s/call,name
11.66,9.37,9.37,7148160,0.00,0.00,adv_center_
11.38,18.51,9.14,265885417,0.00,0.00,__output_operators_time_average_MOD_new_data
10.29,26.78,8.27,7989120,0.00,0.00,__mtridiagonal_MOD_tridiagonal
8.10,33.29,6.51,1261446,0.00,0.00,__fabm_work_MOD_begin_interior_task
7.54,39.35,6.06,280322,0.00,0.00,__ersem_microzooplankton_MOD_do
5.29,43.60,4.25,7708800,0.00,0.00,diff_center_
4.52,47.23,3.63,14156261,0.00,0.00,__ersem_carbonate_MOD_co2dyn
4.29,50.68,3.45,560644,0.00,0.00,__ersem_primary_producer_MOD_do
3.58,53.56,2.88,140161,0.00,0.00,__ersem_mesozooplankton_MOD_do
2.41,55.50,1.94,140161,0.00,0.00,__ersem_bacteria_docdyn_MOD_do
2.33,57.37,1.87,1681928,0.00,0.00,__fabm_work_MOD_begin_horizontal_task
2.09,59.05,1.68,280320,0.00,0.00,__fabm_MOD_check_interior_state
2.04,60.69,1.64,267845871,0.00,0.00,__output_manager_core_MOD_field_flag_as_required
1.93,62.24,1.55,140160,0.00,0.00,__gotm_fabm_MOD_do_gotm_fabm
1.77,63.66,1.42,69519856,0.00,0.00,__eqstate_MOD_rho_feistel
1.29,64.70,1.04,267845760,0.00,0.00,__output_operators_base_MOD_flag_as_required
1.16,65.63,0.93,265905871,0.00,0.00,__output_operators_base_MOD_before_save
1.10,66.51,0.88,69519856,0.00,0.00,__eqstate_MOD_eqstate1
0.92,67.25,0.74,1681926,0.00,0.00,__fabm_work_MOD_process_horizontal_slice
0.86,67.94,0.69,265883520,0.00,0.00,__output_operators_time_average_MOD_flag_as_required
0.68,68.49,0.55,56624644,0.00,0.00,__ersem_primary_producer_MOD_get_sinking_rate
0.67,69.03,0.54,140161,0.00,0.00,__output_manager_MOD_output_manager_save2
0.63,69.54,0.51,140161,0.00,0.00,__ersem_carbonate_MOD_do
0.62,70.04,0.50,1261449,0.00,0.00,__fabm_builtin_sum_MOD_weighted_sum_do
0.61,70.53,0.49,1261445,0.00,0.00,__fabm_work_MOD_process_interior_slice
0.61,71.02,0.49,280321,0.00,0.00,__fabm_MOD_link_all_interior_state_data
0.61,71.51,0.49,140160,0.00,0.00,__output_manager_MOD_output_manager_prepare_save
0.58,71.98,0.47,560640,0.00,0.00,__ersem_primary_producer_MOD_get_vertical_movement
0.57,72.44,0.46,140161,0.00,0.00,stratification_
0.55,72.88,0.44,140161,0.00,0.00,__fabm_MOD_get_interior_sources_rhs
0.55,73.32,0.44,4384,0.00,0.00,__netcdf_output_MOD_save
0.54,73.75,0.43,420483,0.00,0.00,__ersem_benthic_fauna_MOD_do_bottom
0.46,74.12,0.37,2803220,0.00,0.00,__ersem_pelagic_base_MOD_do_bottom
0.40,74.44,0.32,6026966,0.00,0.00,__ersem_benthic_column_particulate_matter_MOD_constituent_for_single_layer_change_do_bottom
0.32,74.70,0.26,280321,0.00,0.00,__fabm_MOD_link_all_bottom_state_data
0.29,74.93,0.23,2771517,0.00,0.00,__output_operators_time_average_MOD_before_save
0.29,75.16,0.23,57074,0.00,0.00,__fabm_properties_MOD_set_property
0.27,75.38,0.22,1822093,0.00,0.00,__ersem_benthic_column_particulate_matter_MOD_layer_do_bottom
0.27,75.60,0.22,140161,0.00,0.00,__ersem_nitrification_MOD_do
0.26,75.81,0.21,2773414,0.00,0.00,__output_operators_base_MOD_fill
